未经 critic 评审 —— r76 固定 G 表(拆效应 A / 效应 B)  [L2/宿主仿真]  预注册 = PREREG_r76.txt
臂 N 单臂:NHS 自选 / duck 不消融 / prefer_unnotched=False / T_low=−45 / T_low_gr=-65 / T_panic=-6
工作点:cal_offset_db=0.0 / T_OBS=6s / bw_oct=1/5 / f_cut=8000 / frame=64 / 8 槽全空 / G 钉死在 anchor+[0.0, 1.0, 2.0, 4.0]
⛔ G 固定 ⇒ 本表【不含】ΔMSG(ΔMSG 是扫描终点量,固定 G 下无定义)

   ΔG  T60  sd   src  N1_cand  N2_lvl      过门率    挂陷   top1  PANIC   lp_rms    起振
  ΔG=+2 T60=0.2 sd=1: N2_lvl 逐档 [(-60.0, 152), (-50.0, 103), (-40.0, 1461), (-30.0, 1334), (-20.0, 5975), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 152, -50.0, 103), (-40.0, 1461, -30.0, 1334)]
  ΔG=+2 T60=0.2 sd=2: N2_lvl 逐档 [(-60.0, 679), (-50.0, 87), (-40.0, 1069), (-30.0, 1245), (-20.0, 5977), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 679, -50.0, 87)]
  ΔG=+2 T60=0.5 sd=0: N2_lvl 逐档 [(-60.0, 101), (-50.0, 102), (-40.0, 611), (-30.0, 936), (-20.0, 5976), (-10.0, 5986)]   ✅单调不减
  ΔG=+2 T60=0.5 sd=1: N2_lvl 逐档 [(-60.0, 101), (-50.0, 105), (-40.0, 234), (-30.0, 265), (-20.0, 5973), (-10.0, 5985)]   ✅单调不减
  ΔG=+2 T60=0.5 sd=2: N2_lvl 逐档 [(-60.0, 201), (-50.0, 229), (-40.0, 910), (-30.0, 2232), (-20.0, 5975), (-10.0, 5985)]   ✅单调不减
  ΔG=+4 T60=0.2 sd=0: N2_lvl 逐档 [(-60.0, 355), (-50.0, 448), (-40.0, 1691), (-30.0, 2543), (-20.0, 5980), (-10.0, 5986)]   ✅单调不减
  ΔG=+4 T60=0.2 sd=1: N2_lvl 逐档 [(-60.0, 1332), (-50.0, 232), (-40.0, 1267), (-30.0, 2693), (-20.0, 5975), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 1332, -50.0, 232)]
  ΔG=+4 T60=0.2 sd=2: N2_lvl 逐档 [(-60.0, 331), (-50.0, 266), (-40.0, 1423), (-30.0, 1431), (-20.0, 5977), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 331, -50.0, 266)]
  ΔG=+4 T60=0.5 sd=0: N2_lvl 逐档 [(-60.0, 487), (-50.0, 570), (-40.0, 959), (-30.0, 1331), (-20.0, 5977), (-10.0, 5986)]   ✅单调不减
  ΔG=+4 T60=0.5 sd=1: N2_lvl 逐档 [(-60.0, 334), (-50.0, 376), (-40.0, 2304), (-30.0, 2667), (-20.0, 5974), (-10.0, 5194)]   ⛔ 出现下降:[(-20.0, 5974, -10.0, 5194)]
  ΔG=+4 T60=0.5 sd=2: N2_lvl 逐档 [(-60.0, 2319), (-50.0, 2127), (-40.0, 2289), (-30.0, 3064), (-20.0, 5977), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 2319, -50.0, 2127)]

总耗时 1038 s。⛔ 未经 critic 评审;本文件不含结论性判读。
